;index;y;x;osmid;ref;highway;lon;lat;geometry;loc_x;loc_y;loc;stop_type_index
111;2707996389;-4293373.990021339;970311.9750380386;2707996389; 250 251 402 ;bus_stop;144.9695208;-37.8023855;POINT (970311.9750380386 -4293373.990021339);2197.083763000206;2139.0879305442795;{2197.083763000206,2139.0879305442795};1
112;2711791003;-4292736.398304725;968269.6319543307;2711791003; 402 ;bus_stop;144.9459223;-37.7982885;POINT (968269.6319543307 -4292736.398304725);154.74067929235753;1501.496213930659;{154.74067929235753,1501.496213930659};1
113;2711791678;-4293077.321824431;968899.5633229617;2711791678; 402 ;bus_stop;144.9533425;-37.8008401;POINT (968899.5633229617 -4293077.321824431);784.672047923319;1842.4197336370125;{784.672047923319,1842.4197336370125};1
114;2713249269;-4293100.1974728;968903.7434401494;2713249269; 402 ;bus_stop;144.953412;-37.801041;POINT (968903.7434401494 -4293100.1974728);788.8521651109913;1865.2953820051625;{788.8521651109913,1865.2953820051625};1
115;3038422034;-4292943.235966043;969145.6229130874;3038422034; 401 403 ;bus_stop;144.9559783;-37.7994515;POINT (969145.6229130874 -4292943.235966043);1030.7316380490083;1708.3338752482086;{1030.7316380490083,1708.3338752482086};1
116;3038423534;-4292960.777962512;969122.4940169799;3038423534; 401 403 ;bus_stop;144.9557354;-37.7996261;POINT (969122.4940169799 -4292960.777962512);1007.6027419415768;1725.8758717179298;{1007.6027419415768,1725.8758717179298};1
117;3516754930;-4293236.2495231;969388.1085896993;3516754930; 505 ;bus_stop;144.9589938;-37.8018774;POINT (969388.1085896993 -4293236.2495231);1273.2173146608984;2001.3474323060364;{1273.2173146608984,2001.3474323060364};1
118;3877513158;-4294089.202518875;971031.8223070721;3877513158; 302 303 304 305 309 318 350 905 906 907 908 ;bus_stop;144.978322;-37.808206;POINT (971031.8223070721 -4294089.202518875);2916.9310320337536;2854.3004280803725;{2916.9310320337536,2854.3004280803725};1
119;3877514557;-4293999.509499757;970638.3741539032;3877514557; 302 303 304 305 309 318 350 402 684 905 906 907 908 ;bus_stop;144.973808;-37.807713;POINT (970638.3741539032 -4293999.509499757);2523.4828788648592;2764.6074089622125;{2523.4828788648592,2764.6074089622125};1
120;3922729768;-4292363.241736871;971079.5918706076;3922729768; 546 ;bus_stop;144.9771592;-37.7927651;POINT (971079.5918706076 -4292363.241736871);2964.700595569215;1128.3396460767835;{2964.700595569215,1128.3396460767835};1
121;3922729771;-4292393.7029228555;971214.5204376174;3922729771; 546 ;bus_stop;144.9787067;-37.7929315;POINT (971214.5204376174 -4292393.702922856);3099.6291625790764;1158.800832061097;{3099.6291625790764,1158.800832061097};1
122;3924718744;-4292756.466192174;970083.7399951115;3924718744; 1 6 ;tram_stop;144.966346;-37.7970525;POINT (970083.7399951115 -4292756.466192174);1968.8487200731179;1521.5641013793647;{1968.8487200731179,1521.5641013793647};0
123;3924718745;-4292766.685267548;970162.2521398335;3924718745; 1 6 ;tram_stop;144.9672391;-37.7970824;POINT (970162.2521398335 -4292766.685267548);2047.3608647951623;1531.78317675367;{2047.3608647951623,1531.78317675367};0
124;3924765036;-4293037.945120088;969846.5618523838;3924765036; 546 ;bus_stop;144.9639553;-37.7997498;POINT (969846.5618523838 -4293037.945120088);1731.670577345416;1803.043029293418;{1731.670577345416,1803.043029293418};1
125;3924765038;-4293292.700082606;969798.66581292;3924765038; 1 3 5 6 16 64 67 72 ;tram_stop;144.9636672;-37.8020608;POINT (969798.66581292 -4293292.700082606);1683.7745378816035;2057.797991811298;{1683.7745378816035,2057.797991811298};0
